name,teaser_description,latitude,longitude,image_url,era,region,discovery_year,credibility_level,is_alternative,site_type_id,is_user_submitted,is_deleted,year_built,full_description,info_url
Göbekli Tepe,"The world’s oldest known temple, built 7,000 years before Stonehenge.",37.2231,38.9226,https://upload.wikimedia.org/wikipedia/commons/f/f2/G%C3%B6bekli_Tepe_Urfa.jpg,Pre‑Pottery Neolithic,Turkey,1994,High,FALSE,1,FALSE,FALSE,-9500,"Göbekli Tepe crowns a limestone ridge in southeastern Anatolia and has forced scholars to rethink the origins of monumentality. Radiocarbon dates show its circular enclosures were raised around 9600 BCE by hunter‑gatherers who had not yet adopted farming. Each enclosure is framed by T‑shaped pillars up to 5 m tall and 20 t in weight, many carved with reliefs of boars, foxes, scorpions and abstract symbols. The absence of domestic structures suggests the hill served as a regional cult centre that drew mobile groups together seasonally. Later, the builders intentionally buried earlier rings, creating a tell that preserved the carvings almost intact. Excavations and geo‑magnetic surveys hint at dozens more enclosures still underground, promising decades of future research. Recognised as a UNESCO site in 2018, Göbekli Tepe offers a unique window onto the spiritual life of the world’s first temple builders.",https://en.wikipedia.org/wiki/G%C3%B6bekli_Tepe
Stonehenge,Iconic Neolithic stone circle aligned with the solstices.,51.1789,-1.8262,https://upload.wikimedia.org/wikipedia/commons/3/3c/Stonehenge2007_07_30.jpg,Neolithic,England,1620,High,FALSE,3,FALSE,FALSE,-3000,"Stonehenge dominates Salisbury Plain with its massive sarsen trilithons and inner bluestone horseshoe. Construction unfolded between 3100 BCE and 1600 BCE, beginning with a circular ditch and timber posts before the stones were erected. Archaeoastronomy shows the axis frames midsummer sunrise and midwinter sunset, anchoring ritual gatherings. The smaller bluestones were quarried in west Wales and transported 250 km, attesting to complex logistics and social organisation. Recent stable‑isotope work on human remains reveals that some people buried nearby came from as far away as the Mediterranean. Laser scanning has identified previously unnoticed carvings of bronze‑age axe heads on the inner faces of uprights. Stonehenge anchors a rich ritual landscape of barrows, cursuses and avenues now preserved within a UNESCO World Heritage zone.",https://en.wikipedia.org/wiki/Stonehenge
Chichen Itza,Maya metropolis famed for El Castillo and its equinox serpent shadow.,20.6843,-88.5678,https://upload.wikimedia.org/wikipedia/commons/9/94/Chichen-Itza-Castillo-Seen-From-East.JPG,Postclassic,Mexico,1841,High,FALSE,3,FALSE,FALSE,600,"Chichen Itza flourished from the 9th to the 13th centuries CE, blending Maya and Toltec cultural elements. The central pyramid, El Castillo, doubles as a 365‑step calendar and projects a serpent‑shaped shadow along its stair at equinox sunset. The Great Ball Court, the largest in Mesoamerica, still carries acoustics that let whispered words travel 140 m. Cenote Sagrado, a natural sinkhole, yielded jade, gold and human remains, confirming the site’s role in pilgrimage and sacrifice. Laser mapping revealed a smaller pyramid nested inside El Castillo and a cenote beneath, suggesting phased construction. Hieroglyphic texts reference powerful lords named Kukulkan, mirroring central Mexican Quetzalcoatl cults. Chichen Itza remains a New Seven Wonders attraction drawing over two million visitors yearly.",https://en.wikipedia.org/wiki/Chichen_Itza
Angkor Wat,"The largest religious monument on Earth, surrounded by a vast moat.",13.4125,103.8667,https://upload.wikimedia.org/wikipedia/commons/a/a6/Angkor_Wat_temple.jpg,Khmer Empire,Cambodia,1860,High,FALSE,1,FALSE,FALSE,1113,"Angkor Wat, built by King Suryavarman II in the early 12th century, symbolises Mount Meru with its five central towers. Its 800 m of bas‑relief panels depict Hindu cosmology and historical battles in intricate low‑relief. The complex is oriented west, unusual for Khmer temples, suggesting a funerary function and solar symbolism. Later Buddhist pilgrims added thousands of graffiti inscriptions, attesting to a living sacred landscape. Recent LIDAR surveys uncovered an urban grid, reservoirs and roadways hidden beneath jungle, redefining Angkor as a true megacity. Conservation challenges include groundwater drawdown, microbial biofilms and tourist wear; joint Cambodian‑French teams manage restoration. Angkor Wat adorns Cambodia’s flag and remains a potent national icon and research focus.",https://en.wikipedia.org/wiki/Angkor_Wat
Teotihuacan,Pre‑Aztec city with grand Avenue of the Dead and gigantic pyramids.,19.6925,-98.8431,https://upload.wikimedia.org/wikipedia/commons/a/a1/Teotihuacan.jpg,Classic,Mexico,1675,High,FALSE,2,FALSE,FALSE,-100,"Teotihuacan thrived in central Mexico between 100 CE and 550 CE, growing to 20 sq km and housing over 100,000 people. Its urban grid centres on the Avenue of the Dead flanked by the Pyramid of the Moon and the 65‑m‑tall Pyramid of the Sun. Colourful murals show feathered serpents, jaguars and water symbolism tied to state ideology. Multi‑ethnic compounds hosted artisans from Oaxaca, the Gulf Coast and the Maya lowlands, reflecting cosmopolitan dynamics. Excavations of sealed tunnels found offerings of jaguar bones, greenstone masks and liquid mercury, perhaps to consecrate sacred caves. Teotihuacan’s collapse remains debated; drought, internal unrest and shifting trade are leading hypotheses. Its urban template inspired later cultures—most notably the Aztec, who considered it the 'City of the Gods'.",https://en.wikipedia.org/wiki/Teotihuacan
Giza Pyramid,"The Great Pyramid of Khufu, last standing Ancient Wonder of the World.",29.9792,31.1342,https://upload.wikimedia.org/wikipedia/commons/e/e3/Khufu_Pyramid.jpg,Old Kingdom,Egypt,450,High,FALSE,1,FALSE,FALSE,-2580,"The Great Pyramid, completed around 2580 BCE, originally stood 146.6 m tall and was sheathed in polished Tura limestone. Its 2.3 million blocks average 2.5 t, aligned to true north within 3 minutes of arc. Interior passages lead to the King’s Chamber, Queen’s Chamber and subterranean chamber whose purposes remain debated. In 2017, muon tomography revealed a 30‑m‑long void above the Grand Gallery, sparking new questions about construction ramps or hidden rooms. Work gangs left red‑ink quarry marks and hieroglyphs naming crews like 'Friends of Khufu', refuting alien‑build theories. Giza’s plateau also houses the Pyramid of Khafre, small Pyramid of Menkaure, satellite queens' pyramids and the Great Sphinx. Continuous conservation tackles pollution, groundwater rise and visitor impact while balancing Egypt’s tourism economy.",https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza
Nazca Lines,"Enormous desert geoglyphs depicting animals, plants and geometric paths.",-14.7392,-75.1305,https://upload.wikimedia.org/wikipedia/commons/e/ef/Nazca_lines.jpg,Iron Age,Peru,1927,High,FALSE,3,FALSE,FALSE,-200,"The Nazca Lines stretch across 450 km² of Peru’s Pampas de Jumana, created by removing iron‑rich pebbles to expose pale subsoil. Hundreds of figures include a 135‑m hummingbird, a condor and labyrinthine trapezoids aligning with horizon markers. Most date between 200 BCE and 600 CE, contemporaneous with Nazca pottery styles. Theories range from astronomical calendar, ritual walkways to water‑related ceremonies; recent isotope work links lines to puquio aquifer entrances. Drone surveys continue to discover new geoglyphs obscured by erosion and modern tracks. Threats include illegal mining, dune encroachment and protest vehicle damage; UNESCO status brings monitoring but enforcement challenges persist. The lines’ remarkable preservation stems from hyper‑arid climate and stable wind conditions.",https://en.wikipedia.org/wiki/Nazca_Lines
Great Zimbabwe,Medieval stone city with high dry‑stone walls and conical tower.,-20.2675,30.9333,https://upload.wikimedia.org/wikipedia/commons/5/5f/Great-Zimbabwe.jpg,Iron Age,Zimbabwe,1871,High,FALSE,2,FALSE,FALSE,1100,"Great Zimbabwe flourished between the 11th and 15th centuries, controlling gold and ivory trade routes to the Swahili coast. Its granite walls stand 11 m high without mortar, enclosing the Great Enclosure and Hill Complex. Soapstone bird sculptures found on site became national symbols of Zimbabwe. Excavations suggest elite habitation amid ritual areas, while commoners lived in surrounding valley settlements. European colonists once attributed the ruins to Phoenicians, but modern archaeology confirms Shona builders. Radiocarbon dates and glass bead origins illustrate shifting trade networks linking Africa to Persia and China. Site management now balances heritage tourism with community livestock grazing pressures.",https://en.wikipedia.org/wiki/Great_Zimbabwe
Machu Picchu,Inca royal estate perched on an Andean ridge above the Urubamba River.,-13.1631,-72.545,https://upload.wikimedia.org/wikipedia/commons/e/eb/Machu_Picchu.jpg,Late Horizon,Peru,1911,High,FALSE,2,FALSE,FALSE,1450,"Machu Picchu, often called the 'Lost City of the Inca', was built by Pachacuti around 1450 CE and escaped Spanish notice. Its terraces, fountains and temples exhibit mortarless ashlar masonry fitted to withstand earthquakes. The Intihuatana stone acts as a solar gnomon marking equinoxes and solstices. Llama‑distributed soil analysis shows imported fertile earth supporting maize and potatoes. UNESCO listing spurred a cap on daily visitors and a shuttle‑bus system to reduce erosion on the Inca Trail. Ongoing LiDAR reveals hidden terraces below jungle canopy, extending the site’s agricultural footprint. Debate continues whether Machu Picchu served primarily as royal retreat, ritual gateway or administrative hub.",https://en.wikipedia.org/wiki/Machu_Picchu
Easter Island Moai,Colossal stone statues carved by the Rapa Nui people from tuff quarries.,-27.1212,-109.3664,https://upload.wikimedia.org/wikipedia/commons/e/e0/Moai_Rano_raraku.jpg,Postclassic,Chile,1722,High,FALSE,5,FALSE,FALSE,1200,"Easter Island, or Rapa Nui, is dotted with 887 moai statues representing deified ancestors. Carved at Rano Raraku quarry, moai were 'walked' upright to coastal ahu platforms using rope‑rocking techniques. The tallest erected statue, Paro, stands 9.8 m and weighs 82 t; an unfinished giant would have reached 21 m. Deforestation driven by quarrying and Polynesian rat introduction led to ecological collapse, but new research nuances the timing. Restoration projects have re‑erected toppled moai and installed protective sea walls against rising tides. Isotopic analysis of tooth enamel shows diet shifts from sea to land resources over time, reflecting social change. Rapa Nui’s cultural renaissance today emphasises ancestral carving traditions and language revival.",https://en.wikipedia.org/wiki/Moai
Petra,Rose‑red Nabataean city carved into sandstone cliffs of southern Jordan.,30.3286,35.4444,https://upload.wikimedia.org/wikipedia/commons/0/09/Petra.jpg,Classical,Jordan,1812,High,FALSE,2,FALSE,FALSE,-300,"Petra, once the Nabataean capital, commanded incense trade routes between Arabia and the Mediterranean. Visitors approach through the Siq, a narrow gorge ending at Al‑Khazneh, the iconic Treasury façade. Rock‑cut tombs, temples and a Roman‑period theatre dot the valley, while hidden cisterns captured flash‑flood water. Arabic inscriptions and Byzantine churches attest to continuous occupation after Roman annexation. UNESCO listing in 1985 spurred site management plans addressing earthquake risk and tourist congestion. Archaeologists using drone photogrammetry recently mapped a massive ritual platform concealed beneath sand. Local Bedouin communities balance heritage stewardship with livelihoods from guiding and handicrafts.",https://en.wikipedia.org/wiki/Petra
Karnak,Egypt’s sprawling temple complex with 134 towering sandstone columns.,25.7188,32.6573,https://upload.wikimedia.org/wikipedia/commons/2/2c/Karnak.jpg,New Kingdom,Egypt,1738,High,FALSE,1,FALSE,FALSE,-2055,"Karnak’s sacred precinct of Amun‑Ra covers 100 ha at ancient Thebes. Successive pharaohs from Senusret I to the Ptolemies added pylons, obelisks and shrines over two millennia. The Hypostyle Hall’s 21‑m‑high columns still bear painted reliefs of processions and battle triumphs. An avenue of ram‑headed sphinxes once linked Karnak to Luxor Temple for the annual Opet festival. Groundwater drainage projects now combat rising salt that flakes sandstone reliefs. Laser scanning has produced a 3‑D model guiding restoration and virtual‑reality tours. Karnak exemplifies the layered architectural palimpsest of pharaonic religious power.",https://en.wikipedia.org/wiki/Karnak
Valley of the Kings,Hidden necropolis for Egypt’s New Kingdom pharaohs in Theban cliffs.,25.7402,32.6014,https://upload.wikimedia.org/wikipedia/commons/1/1f/Valley_of_the_Kings.jpg,New Kingdom,Egypt,1700,High,FALSE,4,FALSE,FALSE,-1530,"The Valley of the Kings holds over sixty tombs cut deep into limestone strata. Painted texts from the Amduat and Book of Gates guided royal souls through the afterlife. Tutankhamun’s tomb, discovered undisturbed in 1922, contained over 5,000 grave goods including the iconic gold mask. High‑resolution photographic surveys document pigment decay for conservation. Debate continues over radar anomalies in KV62 that may conceal additional chambers. Visitor routes now rotate to protect fragile tomb micro‑environments. The valley remains an unparalleled archive of ancient Egyptian theology and art.",https://en.wikipedia.org/wiki/Valley_of_the_Kings
Tikal,Guatemalan rainforest city dominated by sky‑piercing limestone temples.,17.221,-89.6237,https://upload.wikimedia.org/wikipedia/commons/d/d7/Tikal_Temple1.jpg,Classic,Guatemala,1848,High,FALSE,2,FALSE,FALSE,-200,"Tikal’s Temple IV rises 70 m above jungle canopy, once visible for kilometres. Stelae detail dynastic wars against Calakmul and star‑war rituals timed to Venus appearances. Reservoir sediment cores record severe drought preceding Tikal’s population collapse after 850 CE. LIDAR mapping in 2018 revealed causeways, fortifications and 60,000 hidden structures, tripling urban area estimates. Jaguar and howler monkey calls accompany visitors, highlighting bio‑cultural heritage. Conservation balances looting prevention, tourism and protection of endangered hardwood trees. Tikal underscores Maya engineering prowess in a tropical ecosystem.",https://en.wikipedia.org/wiki/Tikal
Yonaguni Monument,Submerged stepped terraces off Japan debated as natural or man‑made.,24.4553,123.0112,https://upload.wikimedia.org/wikipedia/commons/7/7d/Yonaguni.jpg,Unknown,Japan,1986,Moderate,TRUE,5,FALSE,FALSE,-10000,"Divers off Yonaguni Island in 1986 discovered massive sandstone terraces and right‑angled passages at 25 m depth. Geologist Masaaki Kimura argues wave‑cut platforms were later modified by Jōmon people; others see purely natural fracturing. Tool‑worked surfaces, alleged stone pillars and engraving traces remain contested. Sea‑level curves indicate submergence around 10,000 BCE, making any human shaping highly controversial. Scientific dives map micro‑striations and sediment infill to resolve the debate. Regardless of origin, the monument has become a popular technical‑diving site and case study in pseudo‑archaeology discourse. Future 3‑D photogrammetry may finally clarify anthropogenic signatures.",https://en.wikipedia.org/wiki/Yonaguni_Monument
